Timestamp,X,Y,Z,Collision_object
2024-02-13 11:39:27.535,-5.58,-1.88,-0.5699451,0
2024-02-13 11:39:27.552,-5.58,-1.88,-0.965236,0
2024-02-13 11:39:27.558,-5.58,-1.88,-0.965236,0
2024-02-13 11:39:27.582,-5.58,-1.88,-1.360527,0
2024-02-13 11:39:27.600,-5.58,-1.88,-1.755818,0
2024-02-13 11:39:27.617,-5.58,-1.88,-2.151109,0
2024-02-13 11:39:27.635,-5.58,-1.88,-2.5464,0
2024-02-13 11:39:27.653,-5.58,-1.88,-2.94169,0
2024-02-13 11:39:27.662,-5.58,-1.88,-2.94169,0
2024-02-13 11:39:27.676,-5.58,-1.88,-3.336981,0
2024-02-13 11:39:27.698,-5.58,-1.88,-3.732272,0
2024-02-13 11:39:27.716,-5.58,-1.88,-4.127563,0
2024-02-13 11:39:27.734,-5.58,-1.88,-4.522854,0
2024-02-13 11:39:27.751,-5.58,-1.88,-4.918145,0
2024-02-13 11:39:27.768,-5.58,-1.88,-4.918145,0
2024-02-13 11:39:27.787,-5.58,-1.88,-5.313436,0
2024-02-13 11:39:27.794,-5.58,-1.88,-5.708726,0
2024-02-13 11:39:27.817,-5.58,-1.88,-6.104017,0
2024-02-13 11:39:27.840,-5.522548,-1.88,-6.495111,0
2024-02-13 11:39:27.846,-5.522548,-1.88,-6.495111,0
2024-02-13 11:39:27.861,-5.52254,-1.88,-6.295111,0
2024-02-13 11:39:27.884,-5.522519,-1.88,-6.171022,0
2024-02-13 11:39:27.902,-5.521396,-1.880011,-6.146205,0
2024-02-13 11:39:27.925,-5.436216,-1.880949,-6.141242,0
2024-02-13 11:39:27.933,-5.31013,-1.882568,-6.140249,0
2024-02-13 11:39:27.944,-5.31013,-1.882568,-6.140249,0
2024-02-13 11:39:27.966,-5.030258,-1.886238,-6.14005,0
2024-02-13 11:39:27.983,-4.711744,-1.890891,-6.14001,0
2024-02-13 11:39:28.001,-4.333384,-1.882187,-6.140002,0
2024-02-13 11:39:28.018,-3.940207,-1.880439,-6.140001,0
2024-02-13 11:39:28.036,-3.545341,-1.880089,-6.14,0
2024-02-13 11:39:28.042,-3.545341,-1.880089,-6.14,0
2024-02-13 11:39:28.066,-3.150137,-1.880018,-6.14,0
2024-02-13 11:39:28.083,-2.754864,-1.880004,-6.14,0
2024-02-13 11:39:28.101,-2.359579,-1.880001,-6.14,0
2024-02-13 11:39:28.120,-1.964292,-1.880001,-6.14,0
2024-02-13 11:39:28.127,-1.964292,-1.880001,-6.14,0
2024-02-13 11:39:28.149,-1.569001,-1.88,-6.14,0
2024-02-13 11:39:28.167,-1.17371,-1.88,-6.14,0
2024-02-13 11:39:28.184,-0.7784194,-1.88,-6.14,0
2024-02-13 11:39:28.201,-0.3831285,-1.88,-6.14,0
2024-02-13 11:39:28.219,0.01216197,-1.88,-6.14,0
2024-02-13 11:39:28.227,0.01216197,-1.88,-6.14,0
2024-02-13 11:39:28.251,0.8027414,-1.88,-6.14,0
2024-02-13 11:39:28.267,0.8027414,-1.88,-6.14,0
2024-02-13 11:39:28.278,1.19803,-1.88,-6.14,0
2024-02-13 11:39:28.300,1.593319,-1.88,-6.14,0
2024-02-13 11:39:28.318,1.988608,-1.88,-6.14,0
2024-02-13 11:39:28.336,2.383896,-1.88,-6.139999,0
2024-02-13 11:39:28.354,2.779186,-1.88,-6.139999,0
2024-02-13 11:39:28.361,2.779186,-1.88,-6.139999,0
2024-02-13 11:39:28.383,3.174477,-1.88,-6.139999,0
2024-02-13 11:39:28.400,3.569768,-1.88,-6.139999,0
2024-02-13 11:39:28.418,3.965058,-1.88,-6.139999,0
2024-02-13 11:39:28.436,4.360348,-1.88,-6.139999,0
2024-02-13 11:39:28.453,4.755638,-1.88,-6.139999,0
2024-02-13 11:39:28.464,4.755638,-1.88,-6.139999,0
2024-02-13 11:39:28.477,5.135503,-1.88,-6.030653,0
2024-02-13 11:39:28.492,5.482652,-1.88,-5.841595,0
2024-02-13 11:39:28.514,5.720726,-1.88,-5.526039,0
2024-02-13 11:39:28.532,5.608145,-1.880621,-5.464121,Wall1
2024-02-13 11:39:28.549,5.585629,-1.884576,-5.186846,Wall1
2024-02-13 11:39:28.565,5.585629,-1.884576,-5.186846,Wall1
2024-02-13 11:39:28.585,5.581126,-1.885996,-4.840961,Wall1
2024-02-13 11:39:28.603,5.580225,-1.882227,-4.459156,Wall1
2024-02-13 11:39:28.620,5.580045,-1.880651,-4.067547,Wall1
2024-02-13 11:39:28.628,5.580045,-1.880651,-4.067547,Wall1
2024-02-13 11:39:28.650,5.580009,-1.880171,-3.673189,Wall1
2024-02-13 11:39:28.668,5.580002,-1.880043,-3.278124,Wall1
2024-02-13 11:39:28.685,5.58,-1.88001,-2.882887,Wall1
2024-02-13 11:39:28.703,5.58,-1.880003,-2.48761,Wall1
2024-02-13 11:39:28.712,5.58,-1.880001,-2.092321,Wall1
2024-02-13 11:39:28.731,5.58,-1.88,-1.697031,Wall1
2024-02-13 11:39:28.748,5.58,-1.88,-1.697031,Wall1
2024-02-13 11:39:28.768,5.58,-1.88,-1.30174,Wall1
2024-02-13 11:39:28.785,5.58,-1.88,-0.906449,Wall1
2024-02-13 11:39:28.802,5.58,-1.88,-0.5111581,Wall1
2024-02-13 11:39:28.811,5.58,-1.88,-0.1158672,Wall1
2024-02-13 11:39:28.834,5.58,-1.88,0.2794237,Wall1
2024-02-13 11:39:28.851,5.58,-1.88,0.6747146,Wall1
2024-02-13 11:39:28.868,5.58,-1.88,0.6747146,Wall1
2024-02-13 11:39:28.887,5.58,-1.88,1.070006,Wall1
2024-02-13 11:39:28.896,5.58,-1.88,1.465297,Wall1
2024-02-13 11:39:28.917,5.58,-1.88,1.860587,Wall1
2024-02-13 11:39:28.934,5.58,-1.88,2.255878,Wall1
2024-02-13 11:39:28.953,5.58,-1.88,2.651169,Wall1
2024-02-13 11:39:28.960,5.58,-1.88,2.651169,Wall1
2024-02-13 11:39:28.984,5.58,-1.88,3.04646,Wall1
2024-02-13 11:39:29.003,5.58,-1.88,3.441751,Wall1
2024-02-13 11:39:29.011,5.58,-1.88,3.837042,Wall1
2024-02-13 11:39:29.034,5.58,-1.88,4.232333,Wall1
2024-02-13 11:39:29.051,5.58,-1.88,4.627624,Wall1
2024-02-13 11:39:29.070,5.58,-1.88,5.022914,Wall1
2024-02-13 11:39:29.078,5.58,-1.88,5.022914,Wall1
2024-02-13 11:39:29.094,5.58,-1.88,5.418205,Wall1
2024-02-13 11:39:29.114,5.58,-1.88,5.813496,Wall1
2024-02-13 11:39:29.132,5.58,-1.88,6.208787,Wall1
2024-02-13 11:39:29.152,5.58,-1.88,6.161758,Wall3
2024-02-13 11:39:29.159,5.58,-1.88,6.161758,Wall3
2024-02-13 11:39:29.184,5.58,-1.88,6.152352,Wall3
2024-02-13 11:39:29.201,5.58,-1.88,6.150471,Wall3
2024-02-13 11:39:29.213,5.58,-1.88,6.150095,Wall3
2024-02-13 11:39:29.234,5.58,-1.88,6.15002,Wall3
2024-02-13 11:39:29.255,5.58,-1.88,6.150004,Wall3
2024-02-13 11:39:29.261,5.58,-1.88,6.150004,Wall3
2024-02-13 11:39:29.285,5.58,-1.88,6.150002,Wall3
2024-02-13 11:39:29.303,5.58,-1.88,6.150001,Wall3
2024-02-13 11:39:29.320,5.58,-1.88,6.150001,Wall3
2024-02-13 11:39:29.328,5.58,-1.88,6.150001,Wall3
2024-02-13 11:39:29.350,5.58,-1.88,6.150001,Wall3
2024-02-13 11:39:29.367,5.58,-1.88,6.150001,Wall3
2024-02-13 11:39:29.385,5.58,-1.88,6.150001,Wall3
2024-02-13 11:39:29.402,5.58,-1.88,6.150001,Wall3
2024-02-13 11:39:29.420,5.58,-1.88,6.150001,Wall3
2024-02-13 11:39:29.427,5.58,-1.88,6.150001,Wall3
2024-02-13 11:39:29.450,5.58,-1.88,6.150001,Wall3
2024-02-13 11:39:29.467,5.58,-1.88,6.150001,Wall3
2024-02-13 11:39:29.485,5.58,-1.88,6.150001,Wall3
2024-02-13 11:39:29.497,5.58,-1.88,6.150001,Wall3
2024-02-13 11:39:29.507,5.58,-1.88,6.150001,Wall3
2024-02-13 11:39:29.530,5.58,-1.88,5.75471,Wall3
2024-02-13 11:39:29.548,5.58,-1.88,5.359419,0
2024-02-13 11:39:29.566,5.58,-1.88,4.964128,0
2024-02-13 11:39:29.583,5.58,-1.88,4.568837,0
2024-02-13 11:39:29.601,5.58,-1.88,4.173546,0
2024-02-13 11:39:29.618,5.58,-1.88,3.778255,0
2024-02-13 11:39:29.636,5.58,-1.88,3.382965,0
2024-02-13 11:39:29.644,5.58,-1.88,3.382965,0
2024-02-13 11:39:29.665,5.58,-1.88,2.987674,0
2024-02-13 11:39:29.683,5.58,-1.88,2.592383,0
2024-02-13 11:39:29.701,5.58,-1.88,2.197092,0
2024-02-13 11:39:29.719,5.58,-1.88,1.801801,0
2024-02-13 11:39:29.736,5.58,-1.88,1.40651,0
2024-02-13 11:39:29.754,5.58,-1.88,1.01122,0
2024-02-13 11:39:29.761,5.58,-1.88,1.01122,0
2024-02-13 11:39:29.783,5.58,-1.88,0.6159286,0
2024-02-13 11:39:29.800,5.58,-1.88,0.2206377,0
2024-02-13 11:39:29.822,5.58,-1.88,-0.1746532,0
2024-02-13 11:39:29.832,5.58,-1.88,-0.5699441,0
2024-02-13 11:39:29.842,5.58,-1.88,-0.5699441,0
2024-02-13 11:39:29.864,5.58,-1.88,-0.9652351,0
2024-02-13 11:39:29.882,5.58,-1.88,-1.360526,0
2024-02-13 11:39:29.900,5.58,-1.88,-1.755817,0
2024-02-13 11:39:29.918,5.58,-1.88,-2.151108,0
2024-02-13 11:39:29.936,5.58,-1.88,-2.546399,0
2024-02-13 11:39:29.954,5.58,-1.88,-2.941689,0
2024-02-13 11:39:29.959,5.58,-1.88,-2.941689,0
2024-02-13 11:39:29.984,5.58,-1.88,-3.33698,0
2024-02-13 11:39:30.001,5.58,-1.88,-3.732271,0
2024-02-13 11:39:30.019,5.58,-1.88,-4.127562,0
2024-02-13 11:39:30.027,5.58,-1.88,-4.127562,0
2024-02-13 11:39:30.052,5.228777,-1.88,-4.835843,0
2024-02-13 11:39:30.060,5.228777,-1.88,-4.835843,0
2024-02-13 11:39:30.082,4.862699,-1.88,-4.98498,0
2024-02-13 11:39:30.100,4.467933,-1.88,-5.005349,0
2024-02-13 11:39:30.118,4.072642,-1.88,-5.005349,0
2024-02-13 11:39:30.136,3.677351,-1.88,-5.005349,0
2024-02-13 11:39:30.143,3.677351,-1.88,-5.005349,0
2024-02-13 11:39:30.166,3.282061,-1.88,-5.005349,0
2024-02-13 11:39:30.183,2.88677,-1.88,-5.005349,0
2024-02-13 11:39:30.201,2.491479,-1.88,-5.005349,0
2024-02-13 11:39:30.219,2.096188,-1.88,-5.005349,0
2024-02-13 11:39:30.236,1.700897,-1.88,-5.005349,0
2024-02-13 11:39:30.242,1.700897,-1.88,-5.005349,0
2024-02-13 11:39:30.268,1.305606,-1.88,-5.005349,0
2024-02-13 11:39:30.286,0.9103155,-1.88,-5.005349,0
2024-02-13 11:39:30.294,0.5150245,-1.88,-5.005349,0
2024-02-13 11:39:30.316,0.1197336,-1.88,-5.005349,0
